"Story","Title","Result","Date","Stability","Duration (s)"
"Crear cuenta de usuario","Crear administrador exitoso","SUCCESS","2023-04-26T13:39:06.16-05:00[America/Bogota]","0.0","0.73"
"Crear cuenta de usuario","Crear aprendiz exitoso","SUCCESS","2023-04-26T13:39:06.928-05:00[America/Bogota]","0.0","0.71"
"Crear cuenta de usuario","Envio de datos para la creacion de usuario administrador vacios","SUCCESS","2023-04-26T13:39:07.674-05:00[America/Bogota]","0.0","2.25"
"Crear cuenta de usuario","Envio de datos para la creacion de usuario aprendiz vacios","SUCCESS","2023-04-26T13:39:09.948-05:00[America/Bogota]","0.0","2.24"
"Crear cuenta de usuario","Creacion usuarios admin con caracteres especiales y numericos en el nombre","SUCCESS","2023-04-26T13:39:12.212-05:00[America/Bogota]","0.0","3.68"
"Crear cuenta de usuario","Creacion usuarios aprendiz con caracteres especiales y numericos en el nombre","SUCCESS","2023-04-26T13:39:15.938-05:00[America/Bogota]","0.0","3.72"
"Crear cuenta de usuario","Crear administrador existente","FAILURE","2023-04-26T13:39:19.684-05:00[America/Bogota]","0.0","0.73"
"Crear cuenta de usuario","Crear aprendiz existente","FAILURE","2023-04-26T13:39:20.446-05:00[America/Bogota]","0.0","0.72"
"Crear cuenta de usuario","Crear administrador con correo de un aprendiz","FAILURE","2023-04-26T13:39:21.204-05:00[America/Bogota]","0.0","0.73"
"Crear cuenta de usuario","Crear aprendiz con correo de un administrador","FAILURE","2023-04-26T13:39:21.96-05:00[America/Bogota]","0.0","0.73"
"Crear cuenta de usuario","Crear admin con un correo invalido","SUCCESS","2023-04-26T13:39:22.725-05:00[America/Bogota]","0.0","0.72"
"Crear cuenta de usuario","Crear aprendiz con un correo invalido","SUCCESS","2023-04-26T13:39:23.479-05:00[America/Bogota]","0.0","0.73"
