"Story","Title","Result","Date","Stability","Duration (s)"
"Crear cuenta de usuario","Crear administrador exitoso","SUCCESS","2023-04-26T13:39:06.16-05:00[America/Bogota]","0.0","0.73"
"Crear cuenta de usuario","Crear aprendiz exitoso","SUCCESS","2023-04-26T13:39:06.928-05:00[America/Bogota]","0.0","0.71"
"Crear cuenta de usuario","Envio de datos para la creacion de usuario administrador vacios","SUCCESS","2023-04-26T13:39:07.674-05:00[America/Bogota]","0.0","2.25"
"Crear cuenta de usuario","Envio de datos para la creacion de usuario aprendiz vacios","SUCCESS","2023-04-26T13:39:09.948-05:00[America/Bogota]","0.0","2.24"
"Crear cuenta de usuario","Creacion usuarios admin con caracteres especiales y numericos en el nombre","SUCCESS","2023-04-26T13:39:12.212-05:00[America/Bogota]","0.0","3.68"
"Crear cuenta de usuario","Creacion usuarios aprendiz con caracteres especiales y numericos en el nombre","SUCCESS","2023-04-26T13:39:15.938-05:00[America/Bogota]","0.0","3.72"
"Crear cuenta de usuario","Crear administrador existente","FAILURE","2023-04-26T13:39:19.684-05:00[America/Bogota]","0.0","0.73"
"Crear cuenta de usuario","Crear aprendiz existente","FAILURE","2023-04-26T13:39:20.446-05:00[America/Bogota]","0.0","0.72"
"Crear cuenta de usuario","Crear administrador con correo de un aprendiz","FAILURE","2023-04-26T13:39:21.204-05:00[America/Bogota]","0.0","0.73"
"Crear cuenta de usuario","Crear aprendiz con correo de un administrador","FAILURE","2023-04-26T13:39:21.96-05:00[America/Bogota]","0.0","0.73"
"Crear cuenta de usuario","Crear admin con un correo invalido","SUCCESS","2023-04-26T13:39:22.725-05:00[America/Bogota]","0.0","0.72"
"Crear cuenta de usuario","Crear aprendiz con un correo invalido","SUCCESS","2023-04-26T13:39:23.479-05:00[America/Bogota]","0.0","0.73"
"Crear ruta de aprendizaje","crear rutas de aprendizaje de manera exitosa","FAILURE","2023-04-26T13:38:23.293-05:00[America/Bogota]","0.0","3.16"
"Crear ruta de aprendizaje","crear rutas de aprendizaje  agregando cursos que no existen","SUCCESS","2023-04-26T13:38:26.479-05:00[America/Bogota]","0.0","0.73"
"Crear ruta de aprendizaje","crear rutas de aprendizaje sin cursos","SUCCESS","2023-04-26T13:38:27.238-05:00[America/Bogota]","0.0","0.71"
"Crear ruta de aprendizaje","crear rutas de aprendizaje con campos vacios","SUCCESS","2023-04-26T13:38:27.985-05:00[America/Bogota]","0.0","2.23"
"Crear ruta de aprendizaje","crear rutas de aprendizaje con caracteres especiales","FAILURE","2023-04-26T13:38:30.244-05:00[America/Bogota]","0.0","5.23"
"Crear ruta de aprendizaje","crear rutas de aprendizaje que ya existe","SUCCESS","2023-04-26T13:38:35.502-05:00[America/Bogota]","0.0","0.72"
"Obtener rutas de aprendizaje","obtener todas las rutas de aprendizaje","SUCCESS","2023-04-26T13:38:36.456-05:00[America/Bogota]","0.0","0.74"
"Crear curso de aprendizaje para la pagina de MatCafe","crear cursos de aprendizaje de manera exitosa","SUCCESS","2023-04-26T13:37:45.694-05:00[America/Bogota]","0.0","10.14"
"Crear curso de aprendizaje para la pagina de MatCafe","crear cursos de aprendizaje con campos vacios en el campus de MatCafe","SUCCESS","2023-04-26T13:37:55.87-05:00[America/Bogota]","0.0","3.92"
"Crear curso de aprendizaje para la pagina de MatCafe","crear cursos de aprendizaje con un id de admin inexistente","SUCCESS","2023-04-26T13:37:59.831-05:00[America/Bogota]","0.0","2.75"
"Calificar taller","Calificar reto exitoso","SUCCESS","2023-04-26T13:39:01.253-05:00[America/Bogota]","0.0","0.97"
"Calificar taller","Calificar reto con valores limite","SUCCESS","2023-04-26T13:39:02.269-05:00[America/Bogota]","0.0","2.96"
"Calificar taller","Calificar reto con id de curso incorrecta","FAILURE","2023-04-26T13:39:05.26-05:00[America/Bogota]","0.0","0.74"
"Editar curso del campus MatCafe","Editar cursos de aprendizaje de manera exitosa","SUCCESS","2023-04-26T13:38:11.353-05:00[America/Bogota]","0.0","4.15"
"Editar curso del campus MatCafe","Editar cursos de aprendizaje dejando campos vacios","SUCCESS","2023-04-26T13:38:15.553-05:00[America/Bogota]","0.0","3.0"
"Editar curso del campus MatCafe","Editar cursos de aprendizaje sin un id de administrador","SUCCESS","2023-04-26T13:38:18.595-05:00[America/Bogota]","0.0","2.27"
"Editar curso del campus MatCafe","Intentar editar un curso de aprendizaje que no existe","SUCCESS","2023-04-26T13:38:20.9-05:00[America/Bogota]","0.0","2.22"
"Obtener todos los cursos disponibles","Obtener cursos disponibles","SUCCESS","2023-04-26T13:38:05.264-05:00[America/Bogota]","0.0","0.83"
"Obtener un curso especifico","obtener curso con un id especifico de forma exitosa","FAILURE","2023-04-26T13:38:06.204-05:00[America/Bogota]","0.0","2.67"
"Obtener un curso especifico","obtener curso con un id especifico que no existe","SUCCESS","2023-04-26T13:38:08.915-05:00[America/Bogota]","0.0","2.27"
"Actualizar ruta de aprendizaje","actualizar rutas de aprendizaje de manera exitosa","SUCCESS","2023-04-26T13:38:41.825-05:00[America/Bogota]","0.0","1.58"
"Actualizar ruta de aprendizaje","actualizar rutas de aprendizaje enviando caracteres especiales","SUCCESS","2023-04-26T13:38:43.433-05:00[America/Bogota]","0.0","3.0"
"Actualizar ruta de aprendizaje","actualizar rutas de aprendizaje enviando campos vacios con admin Id y Id validos","SUCCESS","2023-04-26T13:38:46.469-05:00[America/Bogota]","0.0","2.98"
"Actualizar ruta de aprendizaje","actualizar rutas de aprendizaje con id no registrados","SUCCESS","2023-04-26T13:38:49.48-05:00[America/Bogota]","0.0","1.48"
"Obtener ruta de aprendizaje por id","obtener ruta de aprendizaje por id","SUCCESS","2023-04-26T13:38:37.288-05:00[America/Bogota]","0.0","1.44"
"Obtener ruta de aprendizaje por id","Envio de un id  que no estaregistrado","SUCCESS","2023-04-26T13:38:38.767-05:00[America/Bogota]","0.0","2.92"
"Buscar cuentas por email","Busqueda de cuenta exitosa","SUCCESS","2023-04-26T13:38:57.322-05:00[America/Bogota]","0.0","1.54"
"Buscar cuentas por email","Busqueda de cuentas fallida","SUCCESS","2023-04-26T13:38:58.899-05:00[America/Bogota]","0.0","2.23"
"Buscar aprendices por email","Busqueda de aprendiz exitosa","SUCCESS","2023-04-26T13:38:54.243-05:00[America/Bogota]","0.0","0.72"
"Buscar aprendices por email","Busqueda de aprendiz fallida","SUCCESS","2023-04-26T13:38:54.998-05:00[America/Bogota]","0.0","2.19"
"Buscar administrador por email","Busqueda de administrador exitosa","SUCCESS","2023-04-26T13:38:51.117-05:00[America/Bogota]","0.0","0.76"
"Buscar administrador por email","Busqueda de admin fallida","SUCCESS","2023-04-26T13:38:51.908-05:00[America/Bogota]","0.0","2.21"
